satellite,variable,horizon_minutes,rmse,mae,bias,std,W_shapiro,p_shapiro,normality_flag
MEO,x_error,15,0.09379700168765115,0.09379700168765115,0.09379700168765115,0.0,,,N/A
MEO,x_error,30,0.34215345679052467,0.34215345679052467,0.34215345679052467,0.0,,,N/A
MEO,x_error,45,0.08695397072095834,0.08695397072095834,-0.08695397072095834,0.0,,,N/A
MEO,x_error,60,0.1739588161636474,0.1739588161636474,-0.1739588161636474,0.0,,,N/A
MEO,x_error,120,0.8373884837363285,0.8373884837363285,0.8373884837363285,0.0,,,N/A
MEO,x_error,180,0.7785275070980632,0.7785275070980632,0.7785275070980632,0.0,,,N/A
MEO,x_error,360,1.3573975436489745,1.3573975436489745,1.3573975436489745,0.0,,,N/A
MEO,x_error,720,1.279329830025275,1.279329830025275,1.279329830025275,0.0,,,N/A
MEO,x_error,1440,0.898753359547041,0.898753359547041,0.898753359547041,0.0,,,N/A
MEO,y_error,15,0.17062905361712788,0.17062905361712788,0.17062905361712788,0.0,,,N/A
MEO,y_error,30,0.6687167307109491,0.6687167307109491,0.6687167307109491,0.0,,,N/A
MEO,y_error,45,0.04848815428131914,0.04848815428131914,0.04848815428131914,0.0,,,N/A
MEO,y_error,60,0.257823852048926,0.257823852048926,0.257823852048926,0.0,,,N/A
MEO,y_error,120,0.6411151422000568,0.6411151422000568,0.6411151422000568,0.0,,,N/A
MEO,y_error,180,1.306218259826044,1.306218259826044,1.306218259826044,0.0,,,N/A
MEO,y_error,360,1.3345168920328305,1.3345168920328305,1.3345168920328305,0.0,,,N/A
MEO,y_error,720,0.5337626392293091,0.5337626392293091,0.5337626392293091,0.0,,,N/A
MEO,y_error,1440,0.32507066918570837,0.32507066918570837,-0.32507066918570837,0.0,,,N/A
MEO,z_error,15,0.3774361369331743,0.3774361369331743,-0.3774361369331743,0.0,,,N/A
MEO,z_error,30,0.05444960485786282,0.05444960485786282,0.05444960485786282,0.0,,,N/A
MEO,z_error,45,0.6154685033375236,0.6154685033375236,-0.6154685033375236,0.0,,,N/A
MEO,z_error,60,0.5492087872491707,0.5492087872491707,-0.5492087872491707,0.0,,,N/A
MEO,z_error,120,0.04890069174415701,0.04890069174415701,-0.04890069174415701,0.0,,,N/A
MEO,z_error,180,0.09390622666777002,0.09390622666777002,-0.09390622666777002,0.0,,,N/A
MEO,z_error,360,0.0615342880743277,0.0615342880743277,-0.0615342880743277,0.0,,,N/A
MEO,z_error,720,0.1193409093728632,0.1193409093728632,-0.1193409093728632,0.0,,,N/A
MEO,z_error,1440,0.068013812214676,0.068013812214676,-0.068013812214676,0.0,,,N/A
MEO,satclockerror,15,0.22601487907177512,0.22601487907177512,-0.22601487907177512,0.0,,,N/A
MEO,satclockerror,30,0.1012102997499668,0.1012102997499668,-0.1012102997499668,0.0,,,N/A
MEO,satclockerror,45,0.4852511957249838,0.4852511957249838,-0.4852511957249838,0.0,,,N/A
MEO,satclockerror,60,0.116720207808448,0.116720207808448,-0.116720207808448,0.0,,,N/A
MEO,satclockerror,120,0.13454140331733472,0.13454140331733472,0.13454140331733472,0.0,,,N/A
MEO,satclockerror,180,0.08519033328432409,0.08519033328432409,0.08519033328432409,0.0,,,N/A
MEO,satclockerror,360,0.0967508332191621,0.0967508332191621,-0.0967508332191621,0.0,,,N/A
MEO,satclockerror,720,0.2480221659612023,0.2480221659612023,0.2480221659612023,0.0,,,N/A
MEO,satclockerror,1440,0.44177458998997227,0.44177458998997227,-0.44177458998997227,0.0,,,N/A
GEO,x_error,15,0.5358784256807156,0.5358784256807156,-0.5358784256807156,0.0,,,N/A
GEO,x_error,30,0.7608320394315856,0.7608320394315856,-0.7608320394315856,0.0,,,N/A
GEO,x_error,45,0.7394002253202591,0.7394002253202591,-0.7394002253202591,0.0,,,N/A
GEO,x_error,60,0.7458614042295393,0.7458614042295393,-0.7458614042295393,0.0,,,N/A
GEO,x_error,120,1.3475512264885356,1.3475512264885356,-1.3475512264885356,0.0,,,N/A
GEO,x_error,180,1.733440257808169,1.733440257808169,-1.733440257808169,0.0,,,N/A
GEO,x_error,360,2.162602626415418,2.162602626415418,2.162602626415418,0.0,,,N/A
GEO,x_error,720,1.5588126425725397,1.5588126425725397,1.5588126425725397,0.0,,,N/A
GEO,x_error,1440,0.30148038312345204,0.30148038312345204,0.30148038312345204,0.0,,,N/A
GEO,y_error,15,0.27249079831602885,0.27249079831602885,-0.27249079831602885,0.0,,,N/A
GEO,y_error,30,0.5810985652709947,0.5810985652709947,-0.5810985652709947,0.0,,,N/A
GEO,y_error,45,0.5021439584620675,0.5021439584620675,-0.5021439584620675,0.0,,,N/A
GEO,y_error,60,0.8025926040774346,0.8025926040774346,-0.8025926040774346,0.0,,,N/A
GEO,y_error,120,1.625922589732531,1.625922589732531,-1.625922589732531,0.0,,,N/A
GEO,y_error,180,1.5531588605165845,1.5531588605165845,-1.5531588605165845,0.0,,,N/A
GEO,y_error,360,1.5486813797453955,1.5486813797453955,1.5486813797453955,0.0,,,N/A
GEO,y_error,720,1.197177743940569,1.197177743940569,1.197177743940569,0.0,,,N/A
GEO,y_error,1440,0.06879284324325372,0.06879284324325372,0.06879284324325372,0.0,,,N/A
GEO,z_error,15,0.08426151609637422,0.08426151609637422,0.08426151609637422,0.0,,,N/A
GEO,z_error,30,0.2064801444137181,0.2064801444137181,-0.2064801444137181,0.0,,,N/A
GEO,z_error,45,0.18335061610158032,0.18335061610158032,0.18335061610158032,0.0,,,N/A
GEO,z_error,60,0.1444533550009654,0.1444533550009654,-0.1444533550009654,0.0,,,N/A
GEO,z_error,120,0.3743162167615627,0.3743162167615627,-0.3743162167615627,0.0,,,N/A
GEO,z_error,180,0.5479096897173789,0.5479096897173789,-0.5479096897173789,0.0,,,N/A
GEO,z_error,360,2.1754768907093514,2.1754768907093514,-2.1754768907093514,0.0,,,N/A
GEO,z_error,720,2.332950494996112,2.332950494996112,2.332950494996112,0.0,,,N/A
GEO,z_error,1440,0.6298971080850035,0.6298971080850035,0.6298971080850035,0.0,,,N/A
GEO,satclockerror,15,0.2180754794598983,0.2180754794598983,0.2180754794598983,0.0,,,N/A
GEO,satclockerror,30,0.3862666535744775,0.3862666535744775,0.3862666535744775,0.0,,,N/A
GEO,satclockerror,45,0.3561524685999548,0.3561524685999548,0.3561524685999548,0.0,,,N/A
GEO,satclockerror,60,0.1453149660399263,0.1453149660399263,0.1453149660399263,0.0,,,N/A
GEO,satclockerror,120,0.1253273146838647,0.1253273146838647,0.1253273146838647,0.0,,,N/A
GEO,satclockerror,180,0.3171325542944638,0.3171325542944638,0.3171325542944638,0.0,,,N/A
GEO,satclockerror,360,0.1351174647869978,0.1351174647869978,-0.1351174647869978,0.0,,,N/A
GEO,satclockerror,720,0.0748417050560719,0.0748417050560719,-0.0748417050560719,0.0,,,N/A
GEO,satclockerror,1440,0.007327340031052898,0.007327340031052898,-0.007327340031052898,0.0,,,N/A
