satellite,variable,horizon_label,horizon_min,n_samples,W,p,normal
MEO,x_error,15min,15,50,0.9291932436948563,0.005151438405716593,No
MEO,x_error,30min,30,50,0.9620089691577286,0.1079119039678999,Yes
MEO,x_error,45min,45,50,0.9581927044056867,0.07467283653206928,Yes
MEO,x_error,1h,60,50,0.9529648000322618,0.04521587320826598,No
MEO,x_error,2h,120,50,0.9354678660336122,0.008951805983722997,No
MEO,x_error,3h,180,50,0.9558339902410853,0.059510595275370934,Yes
MEO,x_error,6h,360,50,0.9383756515073132,0.011625714066812518,No
MEO,x_error,12h,720,50,0.8581480786424556,2.5904879455248373e-05,No
MEO,x_error,24h,1440,50,0.933353909774293,0.007418225640323744,No
MEO,y_error,15min,15,50,0.9614502733161504,0.10224843412299067,Yes
MEO,y_error,30min,30,50,0.9727105761617562,0.29731915782228635,Yes
MEO,y_error,45min,45,50,0.9671251199121796,0.1763815776566955,Yes
MEO,y_error,1h,60,50,0.9786749303001383,0.4975321775643187,Yes
MEO,y_error,2h,120,50,0.9873010399545668,0.8641795608490657,Yes
MEO,y_error,3h,180,50,0.9832086164457849,0.6927112434648552,Yes
MEO,y_error,6h,360,50,0.9560957364492237,0.06102587682120841,Yes
MEO,y_error,12h,720,50,0.9263479236016899,0.004030357753207136,No
MEO,y_error,24h,1440,50,0.962812615992197,0.11660853522614933,Yes
MEO,z_error,15min,15,50,0.9668985340162054,0.17261255150691468,Yes
MEO,z_error,30min,30,50,0.9704655901828244,0.24173714467019491,Yes
MEO,z_error,45min,45,50,0.9602313703544583,0.09090036705095653,Yes
MEO,z_error,1h,60,50,0.9518897677686986,0.040813824343538654,No
MEO,z_error,2h,120,50,0.9188490913684336,0.00214310386426596,No
MEO,z_error,3h,180,50,0.9403924093429098,0.01396327953243012,No
MEO,z_error,6h,360,50,0.9460166737683897,0.023463617518417905,No
MEO,z_error,12h,720,50,0.9747452821822106,0.3568553701360345,Yes
MEO,z_error,24h,1440,50,0.9754166296533118,0.3785017714874511,Yes
MEO,satclockerror,15min,15,50,0.9028690129838347,0.0005984195966944031,No
MEO,satclockerror,30min,30,50,0.9057649972404641,0.000748975389599836,No
MEO,satclockerror,45min,45,50,0.9135748843290581,0.0013922448534001693,No
MEO,satclockerror,1h,60,50,0.9208708947142653,0.0025355187097844283,No
MEO,satclockerror,2h,120,50,0.9079097188474916,0.0008860613795506351,No
MEO,satclockerror,3h,180,50,0.9272667099951036,0.0043612293847639805,No
MEO,satclockerror,6h,360,50,0.9380615920757629,0.011300315930051704,No
MEO,satclockerror,12h,720,50,0.8733621805596963,7.079991321557102e-05,No
MEO,satclockerror,24h,1440,50,0.8716136464289655,6.288400558652571e-05,No
GEO,x_error,15min,15,50,0.9728496255295691,0.30110247676325635,Yes
GEO,x_error,30min,30,50,0.9741939409753525,0.3398274712827424,Yes
GEO,x_error,45min,45,50,0.9665478630500856,0.16693069489140716,Yes
GEO,x_error,1h,60,50,0.9686383208297885,0.20362323736700844,Yes
GEO,x_error,2h,120,50,0.9708947166485201,0.2515845447819452,Yes
GEO,x_error,3h,180,50,0.9860767478095829,0.8167380973861844,Yes
GEO,x_error,6h,360,50,0.9865030503632988,0.8338075765578079,Yes
GEO,x_error,12h,720,50,0.9792974541962708,0.5227261409393541,Yes
GEO,x_error,24h,1440,50,0.8422473964747786,9.604625848924737e-06,No
GEO,y_error,15min,15,50,0.7841657355959155,3.85769321219596e-07,No
GEO,y_error,30min,30,50,0.7929192496042281,6.045600506991627e-07,No
GEO,y_error,45min,45,50,0.8207393339267921,2.7276942770664553e-06,No
GEO,y_error,1h,60,50,0.8233456351752617,3.1623619464707917e-06,No
GEO,y_error,2h,120,50,0.8200806095042804,2.6281465581859097e-06,No
GEO,y_error,3h,180,50,0.9782821885460609,0.48201176070106416,Yes
GEO,y_error,6h,360,50,0.8709231594130122,6.0020961715977645e-05,No
GEO,y_error,12h,720,50,0.93130060040524,0.0061911177575131055,No
GEO,y_error,24h,1440,50,0.9732947178224338,0.31349029520017363,Yes
GEO,z_error,15min,15,50,0.832345963946107,5.320706165600894e-06,No
GEO,z_error,30min,30,50,0.8210787816837757,2.7805398307556357e-06,No
GEO,z_error,45min,45,50,0.803580096322581,1.0611328657225966e-06,No
GEO,z_error,1h,60,50,0.829707222252471,4.560711933515014e-06,No
GEO,z_error,2h,120,50,0.8251888367840617,3.513580304542083e-06,No
GEO,z_error,3h,180,50,0.9544530145528132,0.05212852804822716,Yes
GEO,z_error,6h,360,50,0.9595137927271749,0.0848188617153297,Yes
GEO,z_error,12h,720,50,0.9684723985259668,0.20045359598788998,Yes
GEO,z_error,24h,1440,50,0.97851115179285,0.4910236858770354,Yes
GEO,satclockerror,15min,15,50,0.8982305778374168,0.00042022436957380095,No
GEO,satclockerror,30min,30,50,0.8955164715856313,0.0003428319917129977,No
GEO,satclockerror,45min,45,50,0.9079577282804385,0.0008894179446319825,No
GEO,satclockerror,1h,60,50,0.9518104295544398,0.040506956236528883,No
GEO,satclockerror,2h,120,50,0.9366297988947716,0.009933332362063431,No
GEO,satclockerror,3h,180,50,0.9744077468143524,0.34635083103669395,Yes
GEO,satclockerror,6h,360,50,0.8891798596930316,0.00021511081336139505,No
GEO,satclockerror,12h,720,50,0.9742398678037385,0.34122021170693734,Yes
GEO,satclockerror,24h,1440,50,0.9657989899686439,0.15539142015591645,Yes
